Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halo-NET Free Flyer,USA,Military,Communications,Optical Imaging,LEO,6/30/2021,Virgin Orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hangsheng 1,China,Commercial,Technology Development,,LEO,4/27/2021,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbinger,USA,Military,Technology Development,Radar Imaging,LEO,5/5/2019,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-2A,USA,Commercial,Surveillance,Electronic Intelligence,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-2B,USA,Commercial,Surveillance,Electronic Intelligence,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-2C,USA,Commercial,Surveillance,Electronic Intelligence,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-3A,USA,Commercial,Surveillance,Electronic Intelligence,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-3B,USA,Commercial,Surveillance,Electronic Intelligence,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-3C,USA,Commercial,Surveillance,Electronic Intelligence,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-4A,USA,Commercial,Surveillance,Electronic Intelligence,LEO,4/1/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-4B,USA,Commercial,Surveillance,Electronic Intelligence,LEO,4/1/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-4C,USA,Commercial,Surveillance,Electronic Intelligence,LEO,4/1/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-6A,USA,Commercial,Surveillance,Electronic Intelligence,LEO,1/24/2023,Mid-Atlantic Regional Spaceport/Wallops Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-6B,USA,Commercial,Surveillance,Electronic Intelligence,LEO,1/24/2023,Mid-Atlantic Regional Spaceport/Wallops Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-6C,USA,Commercial,Surveillance,Electronic Intelligence,LEO,1/24/2023,Mid-Atlantic Regional Spaceport/Wallops Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-7A,USA,Commercial,Surveillance,Electronic Intelligence,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-7B,USA,Commercial,Surveillance,Electronic Intelligence,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-7C,USA,Commercial,Surveillance,Electronic Intelligence,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-A,USA,Commercial,Surveillance,Electronic Intelligence,LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-B,USA,Commercial,Surveillance,Electronic Intelligence,LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-C,USA,Commercial,Surveillance,Electronic Intelligence,LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-1,China,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,11/14/2017,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-2A,China,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,12/7/2019,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-2B,China,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,12/7/2019,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-2E,China,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,10/14/2021,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-2F,China,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,10/14/2021,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-4,China,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,5/31/2020,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-5,China,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,6/17/2020,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helios 2A,France/Italy/Belgium/Spain/Greece,Military,Earth Observation,Optical Imaging,LEO,12/18/2004,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helios 2B,France/Italy/Belgium/Spain/Greece,Military,Earth Observation,Optical Imaging,LEO,12/18/2009,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HellasSat-2,Greece,Commercial,Communications,,GEO,5/12/2003,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HellasSat-3,Greece/United Kingdom,Commercial,Communications,,GEO,6/28/2017,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellas-Sat 4,Greece,Commercial/Government,Communications,,GEO,2/5/2019,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibari,Japan,Civil,Technology Demonstration,,LEO,11/8/2021,Uchinoura Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiber-1,Netherlands,Commercial,Technology Development,,LEO,11/29/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiber-2,Netherlands,Commercial,Technology Development,,LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiber-3,Netherlands,Commercial,Technology Development,,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiber-4,Netherlands,Commercial,Technology Development,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himawari 8,Japan,Government,Earth Observation,Meteorology,GEO,10/7/2014,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himawari 9,Japan,Government,Earth Observation,Meteorology,GEO,11/2/2016,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinode,Multinational,Government,Space Science,,LEO,10/22/2006,Uchinoura Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hisaki,Japan,Government,Space Science,,Elliptical,9/14/2013,Uchinoura Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hisea-1,China,Commercial,Earth Observation,Radar Imaging,LEO,12/22/2020,Wenchang Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispasat 1D,Spain,Government/Commercial/Military,Communications,,GEO,9/18/2002,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispasat 1E,Spain,Commercial,Communications,,GEO,12/29/2010,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispasat 30W-6,Spain,Commercial,Communications,,GEO,3/6/2018,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispasat 36W-1,Spain,Commercial,Communications,,GEO,1/28/2017,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-1A,China,Government,Earth Observation,Optical Imaging,LEO,9/5/2008,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-1B,China,Government,Earth Observation,Optical Imaging,LEO,9/5/2008,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-2A,China,Government,Earth Observation,,LEO,9/27/2020,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-2B,China,Government,Earth Observation,,LEO,9/27/2020,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodoyoshi-3,Japan,Government,Technology Development,,LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodoyoshi-4,Japan,Government,Technology Development,,LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongtu 1-01,Australia,Commercial,Earth Observation,Radar Imaging,LEO,3/30/2023,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongtu 1-02,Australia,Commercial,Earth Observation,Radar Imaging,LEO,3/30/2023,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongtu 1-03,Australia,Commercial,Earth Observation,Radar Imaging,LEO,3/30/2023,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongtu 1-04,Australia,Commercial,Earth Observation,Radar Imaging,LEO,3/30/2023,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongyan-1,China,Government,Communications,,LEO,12/29/2018,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongyun-1,China,Commercial,Technology Development,,LEO,12/21/2018,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizons 2,USA/Japan,Commercial,Communications,,GEO,12/21/2007,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizons 3e,USA/Japan,Commercial,Communications,,GEO,9/25/2018,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horus-1,Egypt,Government,Earth Observation,Remote Sensing,LEO,2/24/2023,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horus-2,Egypt,Government,Earth Observation,Remote Sensing,LEO,3/13/2023,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horyu-2,Japan,Civil,Technology Development,,LEO,5/17/2012,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSAT-1,USA,Commercial,Communications,,LEO,11/29/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huangpu-1,China,Commercial,Communications,,LEO,11/3/2019,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huanjing Jianzai 02-05 ,China,Government,Earth Observation,,LEO,10/12/2022,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubble Space Telescope,ESA,Government,Space Science,,LEO,4/25/1990,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huia'an,China,Civil,Technology Development,,LEO,1/18/2018,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huygens,Norway,Military,Earth Observation,Radar Surveillance,LEO,1/3/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HXMT,China,Government,Space Science,,LEO,6/15/2017,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAS 1,United Kingdom,Commercial,Communications,,GEO,11/26/2010,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAS 2,United Kingdom,Commercial,Communications,,GEO,8/2/2012,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAS 4,United Kingdom,Commercial,Communications,,GEO,4/5/2018,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HySIS,India,Government,Earth Observation,Hyperspectral Imaging,LEO,11/29/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icesat-2,USA,Government,Earth Science,Laser Imaging,LEO,9/15/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X1,Finland,Commercial,Earth Observation,Radar Imaging,LEO,1/12/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X10 ,Finland,Commercial,Earth Observation,Radar Imaging,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X11,Finland,Commercial,Earth Observation,Radar Imaging (SAR),LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X12,Finland,Commercial,Earth Observation,Radar Imaging (SAR),LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X13,Finland,Commercial,Earth Observation,Radar Imaging (SAR),LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X14,Finland,Commercial,Earth Observation,Radar Imaging (SAR),LEO,1/13/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X15,Finland,Commercial,Earth Observation,Radar Imaging (SAR),LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X16,Finland,Commercial,Earth Observation,Radar Imaging (SAR),LEO,1/13/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X17,Finland,Commercial,Earth Observation,Radar Imaging,LEO,5/25/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X18,Finland,Commercial,Earth Observation,Radar Imaging,LEO,5/25/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X19,Finland,Commercial,Earth Observation,Radar Imaging,LEO,5/25/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X2,Finland,Commercial,Earth Observation,Radar Imaging (SAR),LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X20,Finland,Commercial,Earth Observation,Radar Imaging,LEO,5/25/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X21,Finland,Commercial,Earth Observation,Radar Imaging,LEO,1/3/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X24,Finland,Commercial,Earth Observation,Radar Imaging,LEO,5/25/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X27,Finland,Commercial,Earth Observation,Radar Imaging,LEO,1/3/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X4,Finland,Commercial,Earth Observation,Radar Imaging,LEO,7/5/2019,Vostochny Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X5,Finland,Commercial,Earth Observation,Radar Imaging,LEO,7/5/2019,Vostochny Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X6,Finland,Commercial,Earth Observation,Radar Imaging,LEO,9/28/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X7,Finland,Commercial,Earth Observation,Radar Imaging,LEO,9/28/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X8,Finland,Commercial,Earth Observation,Radar Imaging,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X9,Finland,Commercial,Earth Observation,Radar Imaging,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,USA,Government,Space Science,Radar Imaging,LEO,10/11/2019,Stargazer L-1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS Optical 5,Japan,Government,Earth Observation,Optical Imaging,LEO,3/26/2015,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS Optical 6,Japan,Government,Earth Observation,Optical Imaging,LEO,2/26/2018,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS Optical 7,Japan,Government,Earth Observation,Optical Imaging,LEO,2/9/2020,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS Radar 5,Japan,Government,Earth Observation,Radar Imaging,LEO,3/16/2017,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS Radar 6,Japan,Government,Earth Observation,Radar Imaging,LEO,6/12/2018,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS Radar 7,Japan,Government,Earth Observation,Radar Imaging,LEO,1/26/2023,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS-6A,Japan,Government,Earth Observation,Optical Imaging,LEO,9/23/2011,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS-7A,Japan,Government,Earth Observation,Radar Imaging,LEO,12/12/2011,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS-8A,Japan,Government,Earth Observation,Radar Imaging,LEO,1/27/2013,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS-8B,Japan,Government,Earth Observation,Optical Imaging,LEO,1/27/2013,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS-9A,Japan,Government,Earth Observation,Radar Imaging,LEO,1/31/2015,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?MECE,Turkey,Civil,Earth Observation,Multispectral Imaging,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 184,USA,Military,Earth Observation,Electronic Intelligence,Elliptical,6/28/2006,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 200,USA,Military,Earth Observation,Electronic Intelligence,Elliptical,3/13/2008,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 259,USA,Military,Earth Observation,Electronic Intelligence,Elliptical,12/13/2014,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 278,USA,Military,Earth Observation,Electronic Intelligence,Elliptical,9/24/2017,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 3 F3,United Kingdom,Commercial,Communications,,GEO,12/18/1996,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 3 F5,United Kingdom,Commercial,Communications,,GEO,2/4/1998,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 4 F1,United Kingdom,Commercial,Communications,,GEO,3/11/2005,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 4 F2,United Kingdom,Commercial,Communications,,GEO,11/8/2005,Sea Launch Odyssey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 4 F3,United Kingdom,Commercial,Communications,,GEO,8/18/2008,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 4-A F4,United Kingdom/ESA,Government/Commercial,Communications/Technology Development,,GEO,7/25/2013,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 5 F1,United Kingdom,Commercial,Communications,,GEO,12/8/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 5 F2,United Kingdom,Commercial,Communications,,GEO,2/1/2015,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 5 F3,United Kingdom,Commercial,Communications,,GEO,8/28/2015,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 5 F4,United Kingdom,Commercial,Communications,,GEO,5/15/2017,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,http://www.orbcomm.com,http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html,http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html,,,,JMSatcat803,
INMARSAT 5 F5,United Kingdom,Commercial,Communications,,GEO,11/26/2019,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 6 F1,United Kingdom,Commercial,Communications,,GEO,12/22/2021,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 6F2,United Kingdom,Commercial,Communications,,GEO,2/18/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INNOSat-2,Malaysia,Government,Technology Development,,LEO,11/29/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-1A,India,Government,Earth Observation,Optical Imaging,LEO,2/15/2017,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-1B,India,Government,Earth Observation,Optical Imaging,LEO,2/15/2017,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-1C,India,Government,Technology Development,,LEO,1/11/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-2TD,India,Government,Earth Observation,Thermal Imaging,LEO,2/14/2022,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 3D,India,Government,Earth Observation,Meteorology,GEO,7/25/2013,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 3DR,India,Government,Earth Observation,Meteorology,GEO,9/8/2016,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InspireSat-1,USA/India/Singapore/Taiwan,Civil/Government,Earth Science,,LEO,2/14/2022,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InspireSat-7,France,Government,Earth/Space Observation,,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTEGRAL,ESA/Russia,Government,Space Science,,Elliptical,10/17/2002,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 10,USA,Commercial,Communications,,GEO,5/14/2001,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 10-02,USA,Commercial,Communications,,GEO,6/16/2004,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 11,USA,Commercial,Communications,,GEO,10/5/2007,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 12,USA,Commercial,Communications,,GEO,10/29/2000,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 14,USA,Commercial,Communications,,GEO,11/23/2009,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 15,USA,Commercial,Communications,,GEO,11/30/2009,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 16,USA,Commercial,Communications,,GEO,2/12/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 17,USA,Commercial,Communications,,GEO,11/26/2010,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 18,USA,Commercial,Communications,,GEO,10/5/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 19,USA,Commercial,Communications,,GEO,6/1/2012,Sea Launch Odyssey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 1R,USA,Commercial,Communications,,GEO,11/15/2000,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 20,USA,Commercial,Communications,,GEO,8/2/2012,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 21,USA,Commercial,Communications,,GEO,8/19/2012,Sea Launch Odyssey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 22,USA,Commercial,Communications,,GEO,3/25/2012,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 23,USA,Commercial,Communications,,GEO,10/14/2012,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 25,USA,Commercial,Communications,,GEO,7/7/2008,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 30/DLA 1,USA,Commercial,Communications,,GEO,10/16/2014,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 31/DLA 2,USA,Commercial,Communications,,GEO,6/9/2016,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 33,USA,Commercial,Communications,,GEO,8/24/2016,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 34,USA,Commercial,Communications,,GEO,8/20/2015,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 35E,USA,Commercial,Communications,,GEO,7/5/2017,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 36,USA,Commercial,Communications,,GEO,8/24/2016,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 37E,USA,Commercial,Communications,,GEO,9/29/2017,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 39,USA,Commercial,Communications,,GEO,8/6/2019,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 40e,USA,Commercial,Communications,,GEO,4/7/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 5,USA,Commercial,Communications,,GEO,8/28/1997,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 9,USA,Commercial,Communications,,GEO,7/28/2000,Sea Launch Odyssey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 901,USA,Commercial,Communications,,GEO,6/9/2001,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 902,USA,Commercial,Communications,,GEO,8/30/2001,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 904,USA,Commercial,Communications,,GEO,2/23/2002,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 905,USA,Commercial,Communications,,GEO,6/5/2002,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 906,USA,Commercial,Communications,,GEO,9/6/2002,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
